Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Panela De Pressão 4 Litros E Meio Marmicoc;139,16;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Tradicional Segura Pequena;69,43;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão Polida 7,0l A Mais Vendida Do Brasil;120;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Classic Alumínio Polido;49;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão Polida 4,5l A Mais Vendida No Brasil;75;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão Panelux Polida 4,5 Litros Alumínio;199;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux Aluminio Polido;75,04;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;62;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;67,06;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;67;https://lista.mercadolivre.com.br/7898147771029#D[A:7898147771029];3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
