Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Ferro De Passar Roupa A Seco Black Decker Com Base De Alumínio Modelo Vfa1110tm2 110v;161,00;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-com-base-de-aluminio-modelo-vfa1110tm2-110v-black-decker/p/jk2316ejfh/ep/ferr/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro a Seco Black & Decker Automático 110V Preto;172,77;https://www.magazineluiza.com.br/ferro-a-seco-black-decker-automatico-110v-preto-black-decker/p/eac952ce72/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro B D Automatico Seco Vfa1110 Preto - Vfa1110tm2;312,91;https://www.magazineluiza.com.br/ferro-b-d-automatico-seco-vfa1110-preto-vfa1110tm2-black-decker/p/db2k2b1dh9/ep/ferr/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar a Seco 110V Cromado Com Base de Aluminio VFA1110 Black&Decker;178,99;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-110v-cromado-com-base-de-aluminio-vfa1110-black-decker/p/hg0294a4b4/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupa a Seco Black Decker VFA1110;277,25;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-vfa1110-black-e-decker/p/ckcjd727ka/ep/ferr/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupa A Seco Black+Decker 110v Preto;182,02;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-110v-preto-black-decker/p/bh4j6a77b4/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Panela de Pressão alumínio Polido 4,5L Fechamento Interno Classic - Panelux;43,15;https://www.magazineluiza.com.br/panela-de-pressao-aluminio-polido-45l-fechamento-interno-classic-panelux/p/hdekk017ea/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5 Litros Panelux Classic Polida Alumínio;51,90;https://www.magazineluiza.com.br/panela-de-pressao-45-litros-panelux-classic-polida-aluminio/p/ac866aga4a/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Kit 2 Panela de Pressão Panelux Polida 4,5 Litros Alumínio Polido Classic Inmetro Ref 1029;154,80;https://www.magazineluiza.com.br/kit-2-panela-de-pressao-panelux-polida-45-litros-aluminio-polido-classic-inmetro-ref-1029/p/ck14ck9kj5/ud/cjpn/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Classic Polida Prata 4,5L;69,99;https://www.magazineluiza.com.br/panela-de-pressao-panelux-classic-polida-prata-45l/p/jd5jb6995h/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
